place,address,pos,open_time
오대산 월정사,강원도 평창군 진부면 동산리,"[37.724018, 128.5975855]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
영실,제주특별자치도 서귀포시 하원동,"[33.3485308, 126.4946222]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
오죽헌,강원도 강릉시 경포동 율곡로3139번길 24,"[37.7794333, 128.8759458]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
진해군항제,경상남도 창원시 창원시 진해구 여좌동,"[35.1546832, 128.6538114]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
서문 시장,대구광역시 중구 대신동 큰장로26길 45,"[35.8688497, 128.5785939]","월요일
오전 9:00~오후 6:30
화요일
오전 9:00~오후 6:30
수요일
오전 9:00~오후 6:30
목요일
오전 9:00~오후 6:30
금요일
오전 9:00~오후 6:30
토요일
오전 9:00~오후 6:30
일요일
오전 9:00~오후 6:30"
Dae Jang Geum Theme Park,경기도 양주시 만송동 30,"[37.791982, 127.099118]",
강촌 레일 파크,강원도 춘천시 신동면 김유정로 1383,"[37.8156154, 127.7099652]","월요일
오전 9:00~오후 5:30
화요일
오전 9:00~오후 5:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 5:30
금요일
오전 9:00~오후 5:30
토요일
오전 9:00~오후 5:30
일요일
오전 9:00~오후 5:30"
이월드,대구광역시 달서구 두류동 두류공원로 200,"[35.8534682, 128.5617238]","월요일
오전 11:00~오후 10:00
화요일
오전 11:00~오후 10:00
수요일
오전 11:00~오후 10:00
목요일
오전 11:00~오후 10:00
금요일
오전 11:00~오후 10:00
토요일
오전 11:00~오후 10:00
일요일
오전 11:00~오후 10:00"
한국민속촌,경기도 용인시 기흥구 민속촌로 90 KR,"[37.2584488, 127.1148094]","월요일
오전 10:00~오후 6:00
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
오대산 국립공원,강원도 평창군 진부면 오대산로 2,"[37.7027706, 128.5999193]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
DMZ 박물관,강원도 고성군 현내면 통일전망대로 369,"[38.5764313, 128.3803438]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
부락산,평택시 송북동,"[37.0695676, 127.0608656]",
한라산 성판악,제주시 오등동,"[33.3869642, 126.496284]",
순천만 습지,전라남도 순천시 도사동 순천만길 513-25,"[34.885971, 127.5068358]","월요일
오전 8:00~오후 7:00
화요일
오전 8:00~오후 7:00
수요일
오전 8:00~오후 7:00
목요일
오전 8:00~오후 7:00
금요일
오전 8:00~오후 7:00
토요일
오전 8:00~오후 7:00
일요일
오전 8:00~오후 7:00"
일산 호수 공원,경기도 고양시 일산동구 장항동 호수로 595,"[37.6567441, 126.7640568]","월요일
오전 12:00~오후 10:00
화요일
오전 12:00~오후 10:00
수요일
오전 12:00~오후 10:00
목요일
오전 12:00~오후 10:00
금요일
오전 12:00~오후 10:00
토요일
오전 12:00~오후 10:00
일요일
오전 12:00~오후 10:00"
롯데월드타워&몰,Seoul Songpa-gu 잠실6동,"[37.5134998, 127.1028285]","월요일
오전 10:30~오후 8:00
화요일
오전 10:30~오후 8:00
수요일
오전 10:30~오후 8:00
목요일
오전 10:30~오후 8:00
금요일
오전 10:30~오후 8:00
토요일
오전 10:30~오후 8:00
일요일
오전 10:30~오후 8:00"
상당산성,충청북도 청주시 상당구 산성동 산28-2,"[36.66171, 127.537719]",
한밭수목원,대전광역시 서구 둔산동 둔산대로117번길 169,"[36.3656689, 127.3856928]","월요일
오전 6:00~오후 9:00
화요일
오전 6:00~오후 9:00
수요일
오전 6:00~오후 9:00
목요일
오전 6:00~오후 9:00
금요일
오전 7:00~오후 9:00
토요일
오전 7:00~오후 9:00
일요일
오전 7:00~오후 9:00"
